time;dt;imu_reseted;gps_position_received;initial_heading;gps_x;gps_y;om_gauche;om_droit;meca_position_measure_received;meca_fiab;meca_position_x;meca_position_y;meca_velocity_x;visu_position_measure_received;visu_fiab;visu_position_x;visu_position_y;visu_velocity_measure_received;visu_velocity_x;visu_velocity_y;imu_accel_measure_received;accel_mss_x;accel_mss_y;imu_theta_received;heading;imu_theta;imu_yaw_velocity;kalman_position_x;kalman_position_y
1469031982644;0.0;0.0;1;0.0;0.0;0.0;0;0;1;1.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;0;0.0;0.0;0.0;0.0;0.0
1469031982664;0.02;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.0;0.0;0.0001;0;0.0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.0;0.0
1469031982674;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.0;0.0
1469031982684;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.0;0.0
1469031982694;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.0;0.0
1469031982704;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.0;0.0
1469031982714;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.0;0.0
1469031982725;0.011;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.0;0.0
1469031982734;0.009;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.0;0.0
1469031982744;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.0;0.0
1469031982758;0.014;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.0;0.0
1469031982764;0.006;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.0;0.0
1469031982776;0.012;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.0;0.0
1469031982789;0.013;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.0;0.0
1469031982803;0.014;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.0;0.0
1469031982814;0.011;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.0;0.0
1469031982821;0.007;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.0;0.0
1469031982824;0.003;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.0;0.0
1469031982834;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;1;0.0;-0.0;-0.0;1;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.0;0.0
1469031982856;0.022;0.0;0;0.0;0.0;0.0;0;0;1;1.0;0.029452;0.0;0.138925;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.00284;0.0
1469031982863;0.007;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.003047;0.0
1469031982884;0.021;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.003669;0.0
1469031982892;0.008;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.003905;0.0
1469031982900;0.008;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.004142;0.0
1469031982909;0.009;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.004408;0.0
1469031982916;0.007;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.004615;0.0
1469031982924;0.008;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.004852;0.0
1469031982931;0.007;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.005059;0.0
1469031982934;0.003;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.005148;0.0
1469031982946;0.012;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;1;0.0;-0.0;-0.0;1;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.005503;0.0
1469031982954;0.008;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.00574;0.0
1469031982964;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.006036;0.0
1469031982975;0.011;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.006361;0.0
1469031982984;0.009;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.006627;0.0
1469031982994;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.006923;0.0
1469031983004;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.007219;0.0
1469031983014;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.007515;0.0
1469031983024;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.007811;0.0
1469031983034;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;1;0.0;-0.0;-0.0;1;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.008107;0.0
1469031983047;0.013;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.008491;0.0
1469031983054;0.007;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.008698;0.0
1469031983064;0.01;0.0;0;0.0;0.0;0.0;0;0;1;1.0;0.029452;0.0;0.0;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.007189;0.0
1469031983078;0.014;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.007478;0.0
1469031983084;0.006;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.007602;0.0
1469031983094;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;1;0.0;-0.0;-0.0;1;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.007808;0.0
1469031983104;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.008015;0.0
1469031983114;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.008221;0.0
1469031983124;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.008428;0.0
1469031983134;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.008634;0.0
1469031983144;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.008841;0.0
1469031983154;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.009047;0.0
1469031983164;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.009254;0.0
1469031983174;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.00946;0.0
1469031983184;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;1;0.0;-0.0;-0.0;1;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.009667;0.0
1469031983194;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.009873;0.0
1469031983204;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.01008;0.0
1469031983214;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010286;0.0
1469031983224;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;1;0.0;-0.0;-0.0;1;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010493;0.0
1469031983234;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010699;0.0
1469031983244;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010906;0.0
1469031983254;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.011112;0.0
1469031983264;0.01;0.0;0;0.0;0.0;0.0;0;0;1;1.0;0.029452;0.0;0.0;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.009384;0.0
1469031983274;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.009522;0.0
1469031983284;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.009659;0.0
1469031983295;0.011;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.00981;0.0
1469031983304;0.009;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.009933;0.0
1469031983314;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.01007;0.0
1469031983324;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;1;0.5;0.001074;0.00689;1;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010112;0.0
1469031983346;0.022;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.5;0.001074;0.00689;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010406;0.0
1469031983353;0.007;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.5;0.001074;0.00689;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.0105;0.0
1469031983361;0.008;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.5;0.001074;0.00689;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010607;0.0
1469031983369;0.008;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;1;0.934579;0.003191;0.005167;1;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010368;0.0
1469031983374;0.005;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.934579;0.003191;0.005167;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010429;0.0
1469031983384;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.934579;0.003191;0.005167;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010551;0.0
1469031983394;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.934579;0.003191;0.005167;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010673;0.0
1469031983404;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.934579;0.003191;0.005167;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010795;0.0
1469031983414;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.934579;0.003191;0.005167;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010917;0.0
1469031983424;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.934579;0.003191;0.005167;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.011038;0.0
1469031983436;0.012;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.934579;0.003191;0.005167;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.011185;0.0
1469031983445;0.009;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.934579;0.003191;0.005167;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.011295;0.0
1469031983454;0.009;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.934579;0.003191;0.005167;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.011404;0.0
1469031983464;0.01;0.0;0;0.0;0.0;0.0;0;0;1;1.0;0.029452;0.0;0.0;0;0.934579;0.003191;0.005167;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.01021;0.0
1469031983479;0.015;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;1;0.88;0.003747;0.005032;1;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010168;0.0
1469031983490;0.011;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.88;0.003747;0.005032;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010252;0.0
1469031983501;0.011;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.88;0.003747;0.005032;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010335;0.0
1469031983504;0.003;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.88;0.003747;0.005032;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010358;0.0
1469031983514;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.88;0.003747;0.005032;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010434;0.0
1469031983524;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.88;0.003747;0.005032;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.01051;0.0
1469031983535;0.011;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.88;0.003747;0.005032;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010593;0.0
1469031983544;0.009;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.88;0.003747;0.005032;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010661;0.0
1469031983554;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.88;0.003747;0.005032;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010737;0.0
1469031983564;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;1;0.908046;0.003807;0.00526;1;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010618;1e-06
1469031983575;0.011;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.908046;0.003807;0.00526;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010695;1e-06
1469031983586;0.011;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.908046;0.003807;0.00526;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010772;1e-06
1469031983594;0.008;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.908046;0.003807;0.00526;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010828;1e-06
1469031983604;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.908046;0.003807;0.00526;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010898;1e-06
1469031983614;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.908046;0.003807;0.00526;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010968;1e-06
1469031983624;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.908046;0.003807;0.00526;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.011037;1e-06
1469031983634;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.908046;0.003807;0.00526;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.011107;1e-06
1469031983644;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.908046;0.003807;0.00526;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.011177;1e-06
1469031983654;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.908046;0.003807;0.00526;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.011247;1e-06
1469031983664;0.01;0.0;0;0.0;0.0;0.0;0;0;1;1.0;0.029452;0.0;0.0;0;0.908046;0.003807;0.00526;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.01052;1e-06
1469031983674;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.908046;0.003807;0.00526;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010567;1e-06
1469031983684;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.908046;0.003807;0.00526;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010614;1e-06
1469031983694;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;1;0.931217;0.003867;0.005094;1;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010546;1e-06
1469031983704;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.931217;0.003867;0.005094;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.01059;1e-06
1469031983714;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.931217;0.003867;0.005094;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010634;1e-06
1469031983724;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.931217;0.003867;0.005094;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010677;1e-06
1469031983734;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.931217;0.003867;0.005094;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010721;1e-06
1469031983744;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.931217;0.003867;0.005094;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010765;1e-06
1469031983754;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.931217;0.003867;0.005094;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010808;1e-06
1469031983764;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.931217;0.003867;0.005094;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010852;1e-06
1469031983774;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;1;0.93299;0.003859;0.006346;1;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010772;1e-06
1469031983784;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.93299;0.003859;0.006346;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010813;1e-06
1469031983794;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.93299;0.003859;0.006346;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010853;1e-06
1469031983804;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.93299;0.003859;0.006346;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010893;1e-06
1469031983814;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.93299;0.003859;0.006346;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010933;1e-06
1469031983824;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.93299;0.003859;0.006346;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.010973;1e-06
1469031983834;0.01;0.0;0;0.0;0.0;0.0;0;0;0;1.0;0.029452;0.0;0.0001;0;0.93299;0.003859;0.006346;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0;0.011014;1e-06
